ID,Source,x,y,R,G,B,size
3685,3017190546641718144,83.85826322362,-5.90989604809,71,113,233,10.0
919,168726523212358272,58.53304404662,31.88359461391,66,148,255,10.0
3583,2769202742740232960,3.30897038438,15.18355074145,71,110,230,10.0
18504,229898024422755840,59.46359517052,40.01009509785,70,97,214,10.0
32792,1014058103758571520,134.7989643318,48.04087147111,53,171,248,10.0
34462,1575287046603605888,183.85734834773,57.03265316489,70,135,251,10.0
65698,511974502720839040,28.59918850459,63.67001834766,69,92,207,10.0
31152,418001477279154304,9.24298360612,53.89686812148,62,56,145,10.0
33621,1201067439457715072,245.47983846631,19.15332026864,59,160,253,10.0
80658,1362451076122760320,264.86615107268995,46.00634774933,64,64,162,10.0
12345,364785939116867072,14.1892287868,38.49948894198,70,130,248,10.0
80728,1385978666451514112,244.93506863648,46.31353301826,65,70,172,10.0
34445,1565090003967879424,201.30730577291,54.98784533978001,70,135,251,10.0
18096,219375904303684224,59.74126438868,35.791042068690004,71,110,230,10.0
81679,1755320049747788160,308.30326973863,11.30317925159,66,75,181,10.0
17031,60248877811546112,47.90808720854999,19.72664828435,47,241,155,10.0
29455,405987526029851264,25.91533157511,50.68866947907001,69,89,203,10.0
90056,181124307088367232,79.5442171546,33.370897989090004,109,254,98,10.0
90020,1926476042681491712,355.1026126546,44.33384847092,68,84,195,10.0
80729,1386158505321789696,242.19224169755,44.9350698604,69,92,207,10.0
56220,482818271843093376,73.51254990848001,66.34270799686999,70,107,227,9.998224035263796
34857,1707399209837352064,236.01507917363,77.79448391627,71,113,233,9.583078647884026
63153,2096875399817444736,281.1932967032,37.60520976092,70,135,251,9.234864033511101
34935,1724851173788449536,263.05490751446,86.58669984134,70,105,224,9.202389327598318
386,146483849657244928,70.5612622075,22.95682713679,65,70,172,9.198642017254699
27488,582791194797052416,132.10812687511998,5.83768158291,69,94,211,9.07157195150931
32681,1004671160675810816,94.90567921603,59.0110906288,70,105,224,8.438913078219313
47912,1990723839987250176,348.13812894607,49.40663255426,59,160,253,8.42135572687905
75170,2419885149815948416,355.68105806185,-14.5451998902,69,89,203,8.20672036910616
28939,375010813139050368,12.45365436059,41.0788278102,65,67,167,8.10306169645844
96318,184433149893809024,81.16308634194,37.38530042175,132,255,81,7.954901923033735
3557,2702544403629124224,336.31934038804,1.37740985144,70,105,224,7.901798903194383
76301,2840673506807375360,350.15953538948,23.74034392901,69,138,252,7.854015324280463
2961,2163949388695291136,314.95652722896,47.52095244138,71,113,233,7.759805956195443
75044,2328250059757795072,357.23194377728,-28.13074342707,70,97,214,7.733246886920684
199,93806419367308544,28.382917106740003,19.29342301216,69,92,207,7.689312934831148
32904,1043382731705599360,137.73038701292,63.5133604349,58,163,252,7.672208533095381
31159,418090121095577216,7.943449071210001,54.52217954002,68,84,195,7.22797351450781
34389,1524913024458144256,199.38485314248,40.57268849014,62,155,254,7.2031393531104175
82207,175909804473075968,65.10252672205999,34.56669459662,34,235,170,7.061948711061393
17331,61033001402831872,50.68825067128,20.74200297961,89,251,115,6.956558760578482
89326,1870779903225039872,311.85228812221,36.49067518364,67,78,186,6.902857848026069
87599,1835335977682835200,303.81626848478,25.59193776936,63,62,156,6.64673675010153
23615,257075615399416448,65.38833252076,46.49872278243,69,94,211,6.573594295397908
30063,935456044713157888,122.11395840541,51.506646114510005,70,105,224,6.532029071440955
80419,1334035606852913536,259.3315097592,33.10007734754,63,59,151,6.423097929029922
89907,1908095850396090880,339.81531786164,39.0502452024,60,50,134,6.381215014402151
34210,1420972823029057408,263.04518678233995,55.18448601891,65,150,255,6.321830180925029
34766,91181575874485632,29.33791322641,17.817467201320003,39,238,164,6.301489777300221
79979,1234645287617291520,220.18155997269,16.41839583823,67,78,186,6.253675273044601
28553,346231302441905920,30.97825852213,42.33069921796,69,92,207,6.220017222777535
238,49298394834276608,64.31506301994,20.57833299896,66,148,255,6.213949281956141
31025,415024618257029888,12.20863075856,50.96812889649,67,78,186,6.200704019682104
34464,1576850723937017216,195.18311488813,56.36635375953,53,171,248,6.122573267607573
75833,2713130535941345792,343.8073072944,8.81623656106,70,102,221,6.115857433994815
86501,1827977186901985024,297.76723062926004,22.60997784575,63,62,156,6.115844983485362
9266,265722999474087424,76.66908986186999,51.59695829274,55,168,250,6.068780628178765
79581,1053778957742409984,156.03259900577,65.56632923066,69,92,207,6.018669597506399
75595,2645537646306946688,351.73353624987,1.25517855366,70,105,224,6.001445515876378
18077,218170461600456576,55.59437438044001,33.96500483922,70,97,214,5.993000018702821
36179,1808282768947879808,303.5694998678,15.19786217788,71,110,230,5.9685436081382885
7241,241279069280395904,50.36028874912,43.32964658483,70,107,227,5.942419604570135
84062,3029560533494670592,116.48690700886002,-14.563778570639998,56,165,251,5.922807253995533
80178,1320255698202371072,240.36049337661,29.85102976643,69,89,203,5.847719456026134
41510,441416161501150848,52.01294917356,49.0627542813,67,78,186,5.847520396922603
63997,2131342100048643584,285.3600707927,46.93440365999,70,135,251,5.804000273499289
61778,2079990268472754048,295.20963297185,45.52547336627,49,175,245,5.77279617666831
95077,1993966437221117568,359.75231305089,55.75490952438,68,81,191,5.73571683494788
80695,1374695306328813568,234.84438427599,36.635777880940005,66,75,181,5.727270374376976
91471,1971467916750747264,319.61330451716,43.9459064882,69,92,207,5.701488127871645
59615,2067050940754838656,312.52131048717,44.0598901552,70,135,251,5.643316317909497
41773,442501619995081088,49.78198800505,50.09486073045999,69,89,203,5.637680965569613
28572,775456761905169920,165.2096529279,39.211956164,66,148,255,5.6273070234767495
42356,1931392955601291392,345.65192928728,42.75779611527,71,123,242,5.626807526991612
34070,1367510272719203968,267.26750104937,50.78197500609,70,105,224,5.626023257846264
57596,2804805822600404736,13.81125954427,24.55700246526,254,164,49,5.575423977283807
64616,2157548616097840000,275.97720848164,58.80101718426999,71,110,230,5.56472589182585
71723,2210840501590321792,356.97839098332,67.80680198767,70,100,218,5.556247816475555
29027,873246776325007232,112.33499918997,28.11804171473,71,123,242,5.527691583281444
